,ArtistId,artist,genre,count,sum
0,22,Led Zeppelin,Rock,114,2508
1,50,Metallica,Metal,112,5600
2,150,U2,Rock,112,16800
3,90,Iron Maiden,Metal,95,8550
4,58,Deep Purple,Rock,92,5336
5,90,Iron Maiden,Rock,81,7290
6,118,Pearl Jam,Rock,54,6372
7,152,Van Halen,Rock,52,7904
8,113,Os Paralamas Do Sucesso,Latin,49,5537
9,149,Lost,TV Shows,48,7152
10,51,Queen,Rock,45,2295
11,149,Lost,Drama,44,6556
12,142,The Rolling Stones,Rock,41,5822
13,76,Creedence Clearwater Revival,Rock,40,3040
14,146,Titãs,Alternative & Punk,38,5548
15,82,Faith No More,Alternative & Punk,37,3034
16,68,Miles Davis,Jazz,37,2516
17,156,The Office,TV Shows,36,5616
18,18,Chico Science & Nação Zumbi,Latin,36,648
19,52,Kiss,Rock,35,1820
20,17,Chico Buarque,Latin,34,578
21,131,Smashing Pumpkins,Alternative & Punk,34,4454
22,54,Green Day,Alternative & Punk,34,1836
23,84,Foo Fighters,Rock,33,2772
24,81,Eric Clapton,Blues,32,2592
25,19,Cidade Negra,Reggae,31,589
26,99,Legião Urbana,Latin,31,3069
27,127,Red Hot Chili Peppers,Rock,31,3937
28,77,Cássia Eller,Latin,30,2310
29,100,Lenny Kravitz,Rock,30,3000
30,139,The Cult,Rock,30,4170
31,145,Tim Maia,Latin,30,4350
32,110,Nirvana,Rock,29,3190
33,88,Guns N' Roses,Rock,28,2464
34,101,Lulu Santos,Latin,28,2828
35,90,Iron Maiden,Heavy Metal,28,2520
36,21,Various Artists,Latin,28,588
37,124,R.E.M.,Alternative & Punk,27,3348
38,59,Santana,Rock,27,1593
39,80,Djavan,Latin,26,2080
40,42,Milton Nascimento,Latin,26,1092
41,143,The Tea Party,Alternative & Punk,26,3718
42,158,Battlestar Galactica (Classic),Sci Fi & Fantasy,24,3792
43,85,Frank Sinatra,Easy Listening,24,2040
44,130,Skank,Rock,23,2990
45,150,U2,Pop,23,3450
46,69,Gene Krupa,Jazz,22,1518
47,16,Caetano Veloso,Latin,21,336
48,53,Spyro Gyra,Jazz,21,1113
49,91,James Brown,R&B/Soul,20,1820
50,148,Heroes,Drama,20,2960
51,144,The Who,Rock,20,2880
52,180,House Of Pain,Hip Hop/Rap,19,3420
53,137,The Black Crowes,Blues,19,2603
54,155,Zeca Pagodinho,Latin,19,2945
55,11,Black Label Society,Metal,18,198
56,104,Marvin Gaye,R&B/Soul,18,1872
57,138,The Clash,Alternative & Punk,18,2484
58,103,Marisa Monte,Latin,18,1854
59,114,Ozzy Osbourne,Rock,18,2052
60,1,AC/DC,Rock,18,18
61,36,O Rappa,Electronica/Dance,17,612
62,13,Body Count,Alternative & Punk,17,221
63,12,Black Sabbath,Metal,17,204
64,6,Antônio Carlos Jobim,Latin,17,102
65,109,Mötley Crüe,Metal,17,1853
66,127,Red Hot Chili Peppers,Alternative & Punk,17,2159
67,24,Marcos Valle,Latin,17,408
68,132,Soundgarden,Rock,17,2244
69,156,The Office,Comedy,17,2652
70,94,Jimi Hendrix,Rock,17,1598
71,121,Planet Hemp,Hip Hop/Rap,16,1936
72,98,Judas Priest,Metal,16,1568
73,78,Def Leppard,Rock,16,1248
74,81,Eric Clapton,Latin,16,1296
75,86,Funk Como Le Gusta,Latin,16,1376
76,111,O Terço,Rock,15,1665
77,3,Aerosmith,Rock,15,45
78,72,Vinícius De Moraes,Latin,15,1080
79,106,Motörhead,Metal,15,1590
80,70,Toquinho & Vinícius,Bossa Nova,15,1050
81,82,Faith No More,Rock,15,1230
82,27,Gilberto Gil,Latin,15,405
83,124,R.E.M.,Rock,14,1736
84,112,Olodum,Latin,14,1568
85,100,Lenny Kravitz,Metal,14,1400
86,126,Raul Seixas,Rock,14,1764
87,27,Gilberto Gil,Soundtrack,14,378
88,88,Guns N' Roses,Metal,14,1232
89,37,Ed Motta,Latin,14,518
90,21,Various Artists,Pop,14,294
91,151,UB40,Reggae,14,2114
92,21,Various Artists,Soundtrack,14,294
93,83,Falamansa,Latin,14,1162
94,8,Audioslave,Rock,14,112
95,41,Elis Regina,Latin,14,574
96,114,Ozzy Osbourne,Metal,14,1596
97,46,Jorge Ben,Latin,14,644
98,57,Os Mutantes,Alternative & Punk,14,798
99,141,The Police,Rock,14,1974
100,116,Passengers,Soundtrack,14,1624
101,97,João Suplicy,World,14,1358
102,205,Chris Cornell,Alternative,14,2870
103,56,Gonzaguinha,Latin,14,784
104,6,Antônio Carlos Jobim,Jazz,14,84
105,8,Audioslave,Alternative,14,112
106,128,Rush,Rock,14,1792
107,147,Battlestar Galactica,Science Fiction,13,1911
108,100,Lenny Kravitz,Reggae,13,1300
109,118,Pearl Jam,Alternative & Punk,13,1534
110,4,Alanis Morissette,Rock,13,52
111,93,JET,Alternative & Punk,13,1209
112,89,Incognito,Jazz,13,1157
113,153,Velvet Revolver,Rock,13,1989
114,5,Alice In Chains,Rock,12,60
115,55,David Coverdale,Rock,12,660
116,9,BackBeat,Rock And Roll,12,108
117,252,Amy Winehouse,R&B/Soul,12,3024
118,96,Jota Quest,Latin,12,1152
