Region,Country,Port,Sea_freight_cost,Total_sea_freight_costs,Road transport_cost_per_km,Total_road_transport_cost,Total_export_costs
Africa,South Africa,Durban,2300,18400,1.61,"$16,100","$34,500"
Africa,Kenya,Mombasa,2800,22400,13.50,"$135,000","$157,400"
Africa,Nigeria,Lagos,4240,33920,2.50,"$25,000","$58,920"
Asia,Singapore,Singapore,180,1440,1.00,"$10,000","$11,440"
Asia,Japan,Yokohama,180,1440,1.00,"$10,000","$11,440"
Asia,China,Shanghai,180,1440,1.00,"$10,000","$11,440"
Europe,Netherlands,Rotterdam,110,880,2.10,"$21,000","$21,880"
Europe,Germany,Hamburg,200,1600,2.10,"$21,000","$22,600"
Europe,Spain,Valencia,195,1560,2.10,"$21,000","$22,560"
Latin America and the Caribbean,Brazil,Santos,544,4352,1.00,"$10,000","$14,352"
Latin America and the Caribbean,Columbia,Cartagena,833,6664,1.00,"$10,000","$16,664"
Latin America and the Caribbean,Costa Rica,Puerto Limon,1654,13232,1.00,"$10,000","$23,232"
Oceania,Australia,Brisbane,4450,35600,1.80,"$18,000","$53,600"
Oceania,Australia,Fremantle,4450,35600,1.80,"$18,000","$53,600"
Oceania,New Zealand,Auckland,4450,35600,1.75,"$17,500","$53,100"
